Date,Price,Open,High,Low,Vol.,
07/01/2022,76.74,76.16,76.74,74.92,14.59K,
06/30/2022,76.26,75.01,76.64,75.01,1.57K,
06/29/2022,75.3,74.92,76.74,74.82,819.78K,
06/28/2022,74.82,76.74,76.74,74.82,1.09M,
06/27/2022,76.74,77.7,77.7,76.74,130.23K,
06/24/2022,77.7,76.74,78.56,76.74,871.25K,
06/23/2022,76.74,76.64,77.7,75.3,1.53M,
06/22/2022,74.82,73.96,74.82,73.86,9.73K,
06/21/2022,74.82,74.82,76.55,73.96,14.35K,
06/20/2022,74.82,74.15,74.82,73.86,5.03K,
06/17/2022,73.86,73.86,76.74,73.86,39.25K,
06/16/2022,73.86,74.82,74.82,73.86,172.53K,
06/15/2022,73.86,74.15,76.64,73.77,1.05M,
06/13/2022,74.24,74.82,74.82,73.38,34.84K,
06/10/2022,73.38,74.82,74.82,73.38,29.76K,
06/09/2022,73.86,74.82,74.82,73.86,439.45K,
06/08/2022,73.96,74.44,74.82,73.96,32.44K,
06/07/2022,74.82,74.92,74.92,73.86,167.24K,
06/06/2022,75.3,74.82,77.7,74.82,17.58K,
06/03/2022,74.82,74.92,77.7,74.82,92.70K,
06/02/2022,74.82,76.64,76.64,74.82,70.96K,
06/01/2022,74.82,74.82,74.82,73.86,218.67K,
05/31/2022,74.82,74.53,76.64,74.34,552.50K,
05/30/2022,75.78,74.34,76.74,74.34,24.79K,
05/27/2022,74.34,75.59,75.78,74.34,59.50K,
05/26/2022,75.68,77.7,77.7,75.49,52.65K,
05/25/2022,76.74,77.89,77.89,76.74,52.76K,
05/24/2022,77.99,80.58,80.58,77.7,39.73K,
05/23/2022,78.66,81.53,81.53,78.66,40.33K,
05/20/2022,78.66,79.62,79.62,77.22,173.94K,
05/19/2022,78.75,80.58,80.58,78.75,22.64K,
05/18/2022,79.52,81.53,81.53,79.42,137.88K,
05/17/2022,79.14,81.53,81.53,79.14,203.75K,
05/13/2022,79.62,80.96,80.96,78.85,44.76K,
05/12/2022,78.66,76.74,80.58,76.74,1.26M,
05/09/2022,79.62,82.01,82.01,79.62,15.36K,
05/06/2022,82.11,82.4,83.36,82.01,5.92K,
05/05/2022,82.4,84.41,84.41,81.53,21.83K,
05/04/2022,84.41,86.33,86.33,83.74,29.06K,
04/29/2022,83.74,89.02,89.02,81.53,53.48K,
04/28/2022,86.33,88.25,88.73,83.45,13.87K,
04/27/2022,86.33,82.49,88.25,81.53,160.31K,
04/26/2022,82.59,83.45,83.45,82.59,4.80K,
04/25/2022,85.85,86.33,86.33,85.85,10.81K,
